,symbol,name,price,change,per_change,volume,avg_volume,market_cap,p_e_ratio,year_percent_change
0,NVDA,NVIDIA Corporation,115.74,6.99,6.43,320760000.0,268911000.0,2824000000000.0,39.37,19.66
1,TSLA,"Tesla, Inc.",248.09,17.51,7.59,139782000.0,88970000.0,797986000000.0,122.21,36.05
2,F,Ford Motor Company,9.59,-0.1,-1.03,129745000.0,84276000.0,38009000000.0,6.57,-21.67
3,LCID,"Lucid Group, Inc.",2.16,0.07,3.35,117783000.0,93180000.0,6548000000.0,,-25.36
4,PLTR,Palantir Technologies Inc.,83.65,5.6,7.17,115866000.0,98585000.0,196189000000.0,440.26,212.2
5,INTC,Intel Corporation,20.68,0.9,4.55,120008000.0,90939000.0,89544000000.0,,-54.24
6,AAL,American Airlines Group Inc.,10.93,-0.53,-4.62,97483000.0,36047000.0,7187000000.0,8.81,-18.14
7,SMCI,"Super Micro Computer, Inc.",42.47,1.63,3.99,92070000.0,71857000.0,25205000000.0,18.47,-65.62
8,NIO,NIO Inc.,5.1,-0.12,-2.3,86829000.0,50077000.0,10003000000.0,,-11.82
9,ALTM,Arcadium Lithium plc,5.84,0.0,0.0,22394000.0,18723000.0,6289000000.0,64.89,20.66
10,RGTI,"Rigetti Computing, Inc.",8.95,0.9,11.18,70408000.0,140270000.0,2558000000.0,,294.61
11,AAPL,Apple Inc.,216.98,-3.86,-1.75,62360000.0,52767000.0,3259000000000.0,34.5,29.05
12,T,AT&T Inc.,25.72,-0.29,-1.11,54491000.0,40343000.0,184623000000.0,17.26,51.31
13,SOFI,"SoFi Technologies, Inc.",11.92,0.66,5.86,53904000.0,46005000.0,13071000000.0,30.56,52.57
14,HOOD,"Robinhood Markets, Inc.",38.92,2.56,7.04,50432000.0,30345000.0,34462000000.0,24.95,111.89
15,NU,Nu Holdings Ltd.,10.89,0.29,2.74,48237000.0,48478000.0,52344000000.0,27.23,-8.54
16,VZ,Verizon Communications Inc.,42.59,-0.84,-1.93,44291000.0,23782000.0,179291000000.0,10.29,7.87
17,BBD,Banco Bradesco S.A.,2.0,0.0,0.0,43104000.0,44870000.0,19831000000.0,9.09,-30.56
18,PSLV,Sprott Physical Silver Trust,11.3,0.16,1.44,36441000.0,26393000.0,5863000000.0,3.67,33.57
19,AMZN,"Amazon.com, Inc.",198.89,2.3,1.17,42025000.0,38216000.0,2108000000000.0,36.03,11.34
20,BAC,Bank of America Corporation,39.91,0.3,0.76,34973000.0,37343000.0,303428000000.0,12.43,9.78
21,SOUN,"SoundHound AI, Inc.",9.13,0.59,6.91,35493000.0,65387000.0,3643000000.0,,-1.27
22,LYG,Lloyds Banking Group plc,3.63,0.09,2.54,33906000.0,24951000.0,55533000000.0,11.34,41.6
23,AMD,"Advanced Micro Devices, Inc.",100.79,4.03,4.16,33871000.0,40125000.0,163328000000.0,100.79,-50.33
24,ERIC,Telefonaktiebolaget LM Ericsson (publ),8.02,-0.22,-2.67,33064999.999999996,17414000.0,26615000000.0,,44.82
25,WBD,"Warner Bros. Discovery, Inc.",10.42,0.05,0.48,35804000.0,32134000.0,25579000000.0,,17.18
26,SNAP,Snap Inc.,8.89,0.03,0.34,34528000.0,28055000.0,15081000000.0,,-25.55
27,RIG,Transocean Ltd.,2.98,0.04,1.36,32773000.000000004,29466000.0,2619000000.0,,-47.69
28,VRN,Veren Inc.,6.1,0.24,4.1,31381000.0,18293000.0,3732000000.0,19.06,-24.19
29,PFE,Pfizer Inc.,25.71,-0.28,-1.08,31466000.0,41129000.0,145707000000.0,18.23,-7.9
